emp_no,salary,from_date,to_date
10072,80299,2022-01-01,2022-12-31
10072,83004,2023-01-01,2023-12-31
10073,52301,2014-01-01,2014-12-31
10073,54702,2015-01-01,2015-12-31
10073,58026,2016-01-01,2016-12-31
10073,61486,2017-01-01,2017-12-31
10073,63031,2018-01-01,2018-12-31
10073,66631,2019-01-01,2019-12-31
10073,71154,2020-01-01,2020-12-31
10073,75621,2021-01-01,2021-12-31
10073,77505,2022-01-01,2022-12-31
10073,79772,2023-01-01,2023-12-31
10074,60771,2018-01-01,2018-12-31
10074,62548,2019-01-01,2019-12-31
10074,65261,2020-01-01,2020-12-31
10074,67978,2021-01-01,2021-12-31
10074,69710,2022-01-01,2022-12-31
10074,75048,2023-01-01,2023-12-31
10075,64947,2022-01-01,2022-12-31
10075,67297,2023-01-01,2023-12-31
10076,46140,2009-01-01,2009-12-31
10076,48255,2010-01-01,2010-12-31
10076,50832,2011-01-01,2011-12-31
10076,53411,2012-01-01,2012-12-31
10076,54810,2013-01-01,2013-12-31
10076,56200,2014-01-01,2014-12-31
10076,59192,2015-01-01,2015-12-31
10076,62495,2016-01-01,2016-12-31
10076,66686,2017-01-01,2017-12-31
10076,71475,2018-01-01,2018-12-31
10076,72957,2019-01-01,2019-12-31
10076,76227,2020-01-01,2020-12-31
10076,81315,2021-01-01,2021-12-31
10076,86477,2022-01-01,2022-12-31
10076,91109,2023-01-01,2023-12-31
10077,47954,2015-01-01,2015-12-31
10077,50558,2016-01-01,2016-12-31
10077,52083,2017-01-01,2017-12-31
10077,54314,2018-01-01,2018-12-31
10077,55852,2019-01-01,2019-12-31
10077,57978,2020-01-01,2020-12-31
10077,60852,2021-01-01,2021-12-31
10077,62300,2022-01-01,2022-12-31
10077,65170,2023-01-01,2023-12-31
10078,55867,2007-01-01,2007-12-31
10078,59607,2008-01-01,2008-12-31
10078,62090,2009-01-01,2009-12-31
10078,66849,2010-01-01,2010-12-31
10078,71077,2011-01-01,2011-12-31
10078,74612,2012-01-01,2012-12-31
10078,78864,2013-01-01,2013-12-31
10078,82607,2014-01-01,2014-12-31
10078,84930,2015-01-01,2015-12-31
10078,86663,2016-01-01,2016-12-31
10078,90453,2017-01-01,2017-12-31
10078,96829,2018-01-01,2018-12-31
10078,100972,2019-01-01,2019-12-31
10078,108214,2020-01-01,2020-12-31
10078,113236,2021-01-01,2021-12-31
10078,118426,2022-01-01,2022-12-31
10078,126646,2023-01-01,2023-12-31
10079,59477,2007-01-01,2007-12-31
10079,61152,2008-01-01,2008-12-31
10079,63551,2009-01-01,2009-12-31
10079,68434,2010-01-01,2010-12-31
10079,70627,2011-01-01,2011-12-31
10079,73370,2012-01-01,2012-12-31
10079,79083,2013-01-01,2013-12-31
10079,85261,2014-01-01,2014-12-31
10079,88457,2015-01-01,2015-12-31
10079,93914,2016-01-01,2016-12-31
10079,98559,2017-01-01,2017-12-31
10079,103935,2018-01-01,2018-12-31
10079,107525,2019-01-01,2019-12-31
10079,112101,2020-01-01,2020-12-31
10079,119834,2021-01-01,2021-12-31
10079,125055,2022-01-01,2022-12-31
10079,128410,2023-01-01,2023-12-31
10080,59406,2009-01-01,2009-12-31
10080,64148,2010-01-01,2010-12-31
10080,66123,2011-01-01,2011-12-31
10080,70490,2012-01-01,2012-12-31
10080,72013,2013-01-01,2013-12-31
10080,76595,2014-01-01,2014-12-31
10080,82460,2015-01-01,2015-12-31
10080,85146,2016-01-01,2016-12-31
10080,90924,2017-01-01,2017-12-31
10080,97277,2018-01-01,2018-12-31
10080,99626,2019-01-01,2019-12-31
10080,106686,2020-01-01,2020-12-31
10080,113908,2021-01-01,2021-12-31
10080,120785,2022-01-01,2022-12-31
10080,124209,2023-01-01,2023-12-31
10081,48279,2016-01-01,2016-12-31
10081,51152,2017-01-01,2017-12-31
10081,54370,2018-01-01,2018-12-31
10081,58031,2019-01-01,2019-12-31
10081,59449,2020-01-01,2020-12-31
10081,64171,2021-01-01,2021-12-31
10081,67299,2022-01-01,2022-12-31
10081,70263,2023-01-01,2023-12-31
10082,68496,2005-01-01,2005-12-31
10082,72708,2006-01-01,2006-12-31
10082,76533,2007-01-01,2007-12-31
10082,81694,2008-01-01,2008-12-31
10082,85090,2009-01-01,2009-12-31
10082,91363,2010-01-01,2010-12-31
10082,96133,2011-01-01,2011-12-31
10082,101736,2012-01-01,2012-12-31
10082,104289,2013-01-01,2013-12-31
10082,111186,2014-01-01,2014-12-31
10082,117796,2015-01-01,2015-12-31
10082,122661,2016-01-01,2016-12-31
10082,129875,2017-01-01,2017-12-31
10082,132817,2018-01-01,2018-12-31
10082,143311,2019-01-01,2019-12-31
10082,152002,2020-01-01,2020-12-31
10082,158686,2021-01-01,2021-12-31
10082,169026,2022-01-01,2022-12-31
10082,182200,2023-01-01,2023-12-31
10083,40345,2012-01-01,2012-12-31
10083,41390,2013-01-01,2013-12-31
10083,42769,2014-01-01,2014-12-31
10083,45540,2015-01-01,2015-12-31
10083,47975,2016-01-01,2016-12-31
10083,50913,2017-01-01,2017-12-31
10083,52606,2018-01-01,2018-12-31
10083,54838,2019-01-01,2019-12-31
10083,57458,2020-01-01,2020-12-31
10083,60949,2021-01-01,2021-12-31
10083,64692,2022-01-01,2022-12-31
10083,66570,2023-01-01,2023-12-31
10084,55819,2018-01-01,2018-12-31
10084,57285,2019-01-01,2019-12-31
10084,59860,2020-01-01,2020-12-31
10084,64511,2021-01-01,2021-12-31
10084,66250,2022-01-01,2022-12-31
10084,71314,2023-01-01,2023-12-31
10085,50220,2020-01-01,2020-12-31
10085,52258,2021-01-01,2021-12-31
10085,55762,2022-01-01,2022-12-31
10085,58620,2023-01-01,2023-12-31
10086,43198,2021-01-01,2021-12-31
10086,45197,2022-01-01,2022-12-31
10086,47990,2023-01-01,2023-12-31
10087,49839,2023-01-01,2023-12-31
10088,63290,2019-01-01,2019-12-31
10088,64992,2020-01-01,2020-12-31
10088,69603,2021-01-01,2021-12-31
10088,73701,2022-01-01,2022-12-31
10088,78169,2023-01-01,2023-12-31
10089,64264,2015-01-01,2015-12-31
10089,66489,2016-01-01,2016-12-31
10089,68514,2017-01-01,2017-12-31
10089,70542,2018-01-01,2018-12-31
10089,74322,2019-01-01,2019-12-31
10089,80082,2020-01-01,2020-12-31
10089,82797,2021-01-01,2021-12-31
10089,86465,2022-01-01,2022-12-31
10089,89151,2023-01-01,2023-12-31
10090,54160,2013-01-01,2013-12-31
10090,56528,2014-01-01,2014-12-31
10090,60159,2015-01-01,2015-12-31
10090,64549,2016-01-01,2016-12-31
10090,67581,2017-01-01,2017-12-31
10090,70674,2018-01-01,2018-12-31
10090,72106,2019-01-01,2019-12-31
10090,74477,2020-01-01,2020-12-31
10090,77210,2021-01-01,2021-12-31
10090,82014,2022-01-01,2022-12-31
10090,87571,2023-01-01,2023-12-31
10091,66198,2020-01-01,2020-12-31
10091,70985,2021-01-01,2021-12-31
10091,73200,2022-01-01,2022-12-31
10091,76095,2023-01-01,2023-12-31
10092,48596,2014-01-01,2014-12-31
10092,51523,2015-01-01,2015-12-31
10092,54066,2016-01-01,2016-12-31
10092,58280,2017-01-01,2017-12-31
10092,60541,2018-01-01,2018-12-31
10092,63163,2019-01-01,2019-12-31
10092,65913,2020-01-01,2020-12-31
10092,67683,2021-01-01,2021-12-31
10092,70466,2022-01-01,2022-12-31
10092,73811,2023-01-01,2023-12-31
10093,62072,2021-01-01,2021-12-31
10093,65942,2022-01-01,2022-12-31
10093,68437,2023-01-01,2023-12-31
10094,42777,2013-01-01,2013-12-31
10094,45357,2014-01-01,2014-12-31
10094,47116,2015-01-01,2015-12-31
10094,48732,2016-01-01,2016-12-31
10094,50048,2017-01-01,2017-12-31
10094,52169,2018-01-01,2018-12-31
10094,53654,2019-01-01,2019-12-31
10094,55977,2020-01-01,2020-12-31
10094,59099,2021-01-01,2021-12-31
10094,62319,2022-01-01,2022-12-31
10094,65147,2023-01-01,2023-12-31
10095,57608,2022-01-01,2022-12-31
10095,61156,2023-01-01,2023-12-31
10096,45676,2021-01-01,2021-12-31
10096,48110,2022-01-01,2022-12-31
10096,50485,2023-01-01,2023-12-31
10097,50308,2014-01-01,2014-12-31
10097,53855,2015-01-01,2015-12-31
10097,56933,2016-01-01,2016-12-31
10097,61028,2017-01-01,2017-12-31
10097,65733,2018-01-01,2018-12-31
10097,68958,2019-01-01,2019-12-31
10097,71144,2020-01-01,2020-12-31
10097,74205,2021-01-01,2021-12-31
10097,78189,2022-01-01,2022-12-31
10097,82816,2023-01-01,2023-12-31
10098,56112,2014-01-01,2014-12-31
10098,58633,2015-01-01,2015-12-31
10098,62760,2016-01-01,2016-12-31
10098,65855,2017-01-01,2017-12-31
10098,67498,2018-01-01,2018-12-31
10098,68972,2019-01-01,2019-12-31
10098,73500,2020-01-01,2020-12-31
10098,76258,2021-01-01,2021-12-31
10098,79040,2022-01-01,2022-12-31
10098,83170,2023-01-01,2023-12-31
10099,54985,2020-01-01,2020-12-31
10099,57950,2021-01-01,2021-12-31
10099,61795,2022-01-01,2022-12-31
10099,64867,2023-01-01,2023-12-31
10100,58766,2007-01-01,2007-12-31
10100,60344,2008-01-01,2008-12-31
10100,64357,2009-01-01,2009-12-31
10100,68823,2010-01-01,2010-12-31
10100,71714,2011-01-01,2011-12-31
10100,76687,2012-01-01,2012-12-31
10100,78412,2013-01-01,2013-12-31
10100,83362,2014-01-01,2014-12-31
10100,87761,2015-01-01,2015-12-31
10100,94728,2016-01-01,2016-12-31
10100,97204,2017-01-01,2017-12-31
10100,103989,2018-01-01,2018-12-31
10100,110756,2019-01-01,2019-12-31
10100,114949,2020-01-01,2020-12-31
10100,124140,2021-01-01,2021-12-31
10100,129972,2022-01-01,2022-12-31
10100,135289,2023-01-01,2023-12-31
10101,54387,2023-01-01,2023-12-31
10102,43846,2019-01-01,2019-12-31
10102,46763,2020-01-01,2020-12-31
10102,48363,2021-01-01,2021-12-31
10102,51682,2022-01-01,2022-12-31
10102,54538,2023-01-01,2023-12-31
10103,63289,2006-01-01,2006-12-31
10103,66872,2007-01-01,2007-12-31
10103,69927,2008-01-01,2008-12-31
10103,73910,2009-01-01,2009-12-31
10103,78868,2010-01-01,2010-12-31
10103,84295,2011-01-01,2011-12-31
10103,90054,2012-01-01,2012-12-31
10103,94935,2013-01-01,2013-12-31
10103,99865,2014-01-01,2014-12-31
10103,105438,2015-01-01,2015-12-31
10103,108611,2016-01-01,2016-12-31
10103,117163,2017-01-01,2017-12-31
10103,121563,2018-01-01,2018-12-31
10103,128171,2019-01-01,2019-12-31
10103,138058,2020-01-01,2020-12-31
10103,145080,2021-01-01,2021-12-31
10103,155817,2022-01-01,2022-12-31
10103,166554,2023-01-01,2023-12-31
10104,64579,2010-01-01,2010-12-31
10104,68914,2011-01-01,2011-12-31
10104,74091,2012-01-01,2012-12-31
10104,79984,2013-01-01,2013-12-31
10104,85744,2014-01-01,2014-12-31
10104,88111,2015-01-01,2015-12-31
10104,94451,2016-01-01,2016-12-31
10104,97754,2017-01-01,2017-12-31
10104,103881,2018-01-01,2018-12-31
10104,111122,2019-01-01,2019-12-31
10104,118421,2020-01-01,2020-12-31
10104,125594,2021-01-01,2021-12-31
10104,131794,2022-01-01,2022-12-31
10104,138995,2023-01-01,2023-12-31
10105,53573,2020-01-01,2020-12-31
10105,55850,2021-01-01,2021-12-31
10105,57220,2022-01-01,2022-12-31
10105,61092,2023-01-01,2023-12-31
10106,53200,2012-01-01,2012-12-31
10106,55909,2013-01-01,2013-12-31
10106,57960,2014-01-01,2014-12-31
10106,62375,2015-01-01,2015-12-31
10106,65003,2016-01-01,2016-12-31
10106,70009,2017-01-01,2017-12-31
10106,72783,2018-01-01,2018-12-31
10106,74249,2019-01-01,2019-12-31
10106,79182,2020-01-01,2020-12-31
10106,84246,2021-01-01,2021-12-31
10106,89625,2022-01-01,2022-12-31
10106,93882,2023-01-01,2023-12-31
10107,51738,2012-01-01,2012-12-31
10107,55411,2013-01-01,2013-12-31
10107,59164,2014-01-01,2014-12-31
10107,61759,2015-01-01,2015-12-31
10107,66581,2016-01-01,2016-12-31
10107,71207,2017-01-01,2017-12-31
10107,74744,2018-01-01,2018-12-31
10107,77686,2019-01-01,2019-12-31
10107,80561,2020-01-01,2020-12-31
10107,84817,2021-01-01,2021-12-31
10107,87177,2022-01-01,2022-12-31
10107,93379,2023-01-01,2023-12-31
10108,69299,2014-01-01,2014-12-31
10108,73522,2015-01-01,2015-12-31
10108,75205,2016-01-01,2016-12-31
10108,77158,2017-01-01,2017-12-31
10108,82330,2018-01-01,2018-12-31
10108,86246,2019-01-01,2019-12-31
10108,88613,2020-01-01,2020-12-31
10108,94945,2021-01-01,2021-12-31
10108,99357,2022-01-01,2022-12-31
10108,101348,2023-01-01,2023-12-31
10109,46629,2014-01-01,2014-12-31
10109,50347,2015-01-01,2015-12-31
10109,54101,2016-01-01,2016-12-31
10109,58046,2017-01-01,2017-12-31
10109,60258,2018-01-01,2018-12-31
10109,64624,2019-01-01,2019-12-31
10109,69315,2020-01-01,2020-12-31
10109,71089,2021-01-01,2021-12-31
10109,74048,2022-01-01,2022-12-31
10109,75895,2023-01-01,2023-12-31
10110,61263,2006-01-01,2006-12-31
10110,63096,2007-01-01,2007-12-31
10110,65858,2008-01-01,2008-12-31
10110,68382,2009-01-01,2009-12-31
10110,72619,2010-01-01,2010-12-31
10110,75091,2011-01-01,2011-12-31
10110,79546,2012-01-01,2012-12-31
10110,84495,2013-01-01,2013-12-31
10110,86190,2014-01-01,2014-12-31
10110,90379,2015-01-01,2015-12-31
10110,92906,2016-01-01,2016-12-31
10110,96024,2017-01-01,2017-12-31
10110,101862,2018-01-01,2018-12-31
10110,103955,2019-01-01,2019-12-31
10110,110372,2020-01-01,2020-12-31
10110,117990,2021-01-01,2021-12-31
10110,127345,2022-01-01,2022-12-31
10110,133118,2023-01-01,2023-12-31
10111,42320,2023-01-01,2023-12-31
10112,42927,2019-01-01,2019-12-31
10112,45667,2020-01-01,2020-12-31
10112,46860,2021-01-01,2021-12-31
10112,48678,2022-01-01,2022-12-31
10112,52224,2023-01-01,2023-12-31
10113,65344,2018-01-01,2018-12-31
10113,69839,2019-01-01,2019-12-31
10113,74900,2020-01-01,2020-12-31
10113,79281,2021-01-01,2021-12-31
10113,84087,2022-01-01,2022-12-31
10113,86113,2023-01-01,2023-12-31
10114,59998,2020-01-01,2020-12-31
10114,63537,2021-01-01,2021-12-31
10114,66485,2022-01-01,2022-12-31
10114,70696,2023-01-01,2023-12-31
10115,44960,2013-01-01,2013-12-31
10115,48340,2014-01-01,2014-12-31
10115,51093,2015-01-01,2015-12-31
10115,53471,2016-01-01,2016-12-31
10115,55237,2017-01-01,2017-12-31
10115,59313,2018-01-01,2018-12-31
10115,60997,2019-01-01,2019-12-31
10115,62667,2020-01-01,2020-12-31
10115,66665,2021-01-01,2021-12-31
10115,69404,2022-01-01,2022-12-31
10115,72580,2023-01-01,2023-12-31
10116,48119,2011-01-01,2011-12-31
10116,49881,2012-01-01,2012-12-31
10116,51130,2013-01-01,2013-12-31
10116,53850,2014-01-01,2014-12-31
10116,56865,2015-01-01,2015-12-31
10116,60075,2016-01-01,2016-12-31
10116,64084,2017-01-01,2017-12-31
10116,68020,2018-01-01,2018-12-31
10116,72840,2019-01-01,2019-12-31
10116,77174,2020-01-01,2020-12-31
10116,80114,2021-01-01,2021-12-31
10116,84205,2022-01-01,2022-12-31
10116,88463,2023-01-01,2023-12-31
10117,49684,2022-01-01,2022-12-31
10117,52603,2023-01-01,2023-12-31
10118,66010,2012-01-01,2012-12-31
10118,71111,2013-01-01,2013-12-31
10118,74644,2014-01-01,2014-12-31
10118,76641,2015-01-01,2015-12-31
10118,80471,2016-01-01,2016-12-31
10118,84948,2017-01-01,2017-12-31
10118,89339,2018-01-01,2018-12-31
10118,96366,2019-01-01,2019-12-31
10118,103999,2020-01-01,2020-12-31
10118,111906,2021-01-01,2021-12-31
10118,115030,2022-01-01,2022-12-31
10118,123271,2023-01-01,2023-12-31
10119,51973,2008-01-01,2008-12-31
10119,54716,2009-01-01,2009-12-31
10119,56377,2010-01-01,2010-12-31
10119,59097,2011-01-01,2011-12-31
10119,63779,2012-01-01,2012-12-31
10119,65333,2013-01-01,2013-12-31
10119,68942,2014-01-01,2014-12-31
10119,70377,2015-01-01,2015-12-31
10119,72695,2016-01-01,2016-12-31
10119,78172,2017-01-01,2017-12-31
10119,84185,2018-01-01,2018-12-31
10119,87878,2019-01-01,2019-12-31
10119,91146,2020-01-01,2020-12-31
10119,96866,2021-01-01,2021-12-31
10119,103261,2022-01-01,2022-12-31
10119,107950,2023-01-01,2023-12-31
10120,60989,2013-01-01,2013-12-31
10120,64172,2014-01-01,2014-12-31
10120,67827,2015-01-01,2015-12-31
10120,70312,2016-01-01,2016-12-31
10120,73025,2017-01-01,2017-12-31
10120,76725,2018-01-01,2018-12-31
10120,79194,2019-01-01,2019-12-31
10120,84617,2020-01-01,2020-12-31
10120,89032,2021-01-01,2021-12-31
10120,92899,2022-01-01,2022-12-31
10120,98292,2023-01-01,2023-12-31
10121,62316,2017-01-01,2017-12-31
10121,65967,2018-01-01,2018-12-31
10121,68513,2019-01-01,2019-12-31
10121,71681,2020-01-01,2020-12-31
10121,77215,2021-01-01,2021-12-31
10121,79864,2022-01-01,2022-12-31
10121,82632,2023-01-01,2023-12-31
10122,43800,2021-01-01,2021-12-31
10122,45867,2022-01-01,2022-12-31
10122,48459,2023-01-01,2023-12-31
10123,64303,2022-01-01,2022-12-31
10123,68127,2023-01-01,2023-12-31
10124,40415,2011-01-01,2011-12-31
10124,42939,2012-01-01,2012-12-31
10124,45605,2013-01-01,2013-12-31
10124,46965,2014-01-01,2014-12-31
10124,50589,2015-01-01,2015-12-31
10124,53188,2016-01-01,2016-12-31
10124,56750,2017-01-01,2017-12-31
10124,60339,2018-01-01,2018-12-31
10124,62150,2019-01-01,2019-12-31
10124,63866,2020-01-01,2020-12-31
10124,68136,2021-01-01,2021-12-31
10124,70597,2022-01-01,2022-12-31
10124,75763,2023-01-01,2023-12-31
10125,40961,2020-01-01,2020-12-31
10125,42603,2021-01-01,2021-12-31
10125,44552,2022-01-01,2022-12-31
10125,46843,2023-01-01,2023-12-31
10126,58895,2021-01-01,2021-12-31
10126,62290,2022-01-01,2022-12-31
10126,65390,2023-01-01,2023-12-31
10127,41816,2005-01-01,2005-12-31
10127,43905,2006-01-01,2006-12-31
10127,46276,2007-01-01,2007-12-31
10127,48222,2008-01-01,2008-12-31
10127,49924,2009-01-01,2009-12-31
10127,51230,2010-01-01,2010-12-31
10127,54018,2011-01-01,2011-12-31
10127,57440,2012-01-01,2012-12-31
10127,59375,2013-01-01,2013-12-31
10127,62375,2014-01-01,2014-12-31
10127,63787,2015-01-01,2015-12-31
10127,68365,2016-01-01,2016-12-31
10127,70735,2017-01-01,2017-12-31
10127,74151,2018-01-01,2018-12-31
10127,77337,2019-01-01,2019-12-31
10127,79580,2020-01-01,2020-12-31
10127,85617,2021-01-01,2021-12-31
10127,91734,2022-01-01,2022-12-31
10127,96611,2023-01-01,2023-12-31
10128,64270,2017-01-01,2017-12-31
10128,68083,2018-01-01,2018-12-31
10128,70361,2019-01-01,2019-12-31
10128,72816,2020-01-01,2020-12-31
10128,78273,2021-01-01,2021-12-31
10128,81340,2022-01-01,2022-12-31
10128,86997,2023-01-01,2023-12-31
10129,43912,2020-01-01,2020-12-31
10129,46112,2021-01-01,2021-12-31
10129,49529,2022-01-01,2022-12-31
10129,51052,2023-01-01,2023-12-31
10130,41504,2007-01-01,2007-12-31
10130,44709,2008-01-01,2008-12-31
10130,45788,2009-01-01,2009-12-31
10130,47981,2010-01-01,2010-12-31
10130,49753,2011-01-01,2011-12-31
10130,53270,2012-01-01,2012-12-31
10130,55381,2013-01-01,2013-12-31
10130,58326,2014-01-01,2014-12-31
10130,59520,2015-01-01,2015-12-31
10130,61427,2016-01-01,2016-12-31
10130,64733,2017-01-01,2017-12-31
10130,67208,2018-01-01,2018-12-31
10130,71063,2019-01-01,2019-12-31
10130,74462,2020-01-01,2020-12-31
10130,78594,2021-01-01,2021-12-31
10130,82492,2022-01-01,2022-12-31
10130,87965,2023-01-01,2023-12-31
10131,69505,2005-01-01,2005-12-31
10131,73174,2006-01-01,2006-12-31
10131,78132,2007-01-01,2007-12-31
10131,80400,2008-01-01,2008-12-31
10131,86505,2009-01-01,2009-12-31
10131,88359,2010-01-01,2010-12-31
10131,92997,2011-01-01,2011-12-31
10131,98405,2012-01-01,2012-12-31
10131,104467,2013-01-01,2013-12-31
10131,106616,2014-01-01,2014-12-31
10131,110891,2015-01-01,2015-12-31
10131,118158,2016-01-01,2016-12-31
10131,123188,2017-01-01,2017-12-31
10131,131107,2018-01-01,2018-12-31
10131,136148,2019-01-01,2019-12-31
10131,140547,2020-01-01,2020-12-31
10131,151648,2021-01-01,2021-12-31
10131,158500,2022-01-01,2022-12-31
10131,170810,2023-01-01,2023-12-31
10132,44665,2009-01-01,2009-12-31
10132,47465,2010-01-01,2010-12-31
10132,48679,2011-01-01,2011-12-31
10132,52343,2012-01-01,2012-12-31
10132,56207,2013-01-01,2013-12-31
10132,59083,2014-01-01,2014-12-31
10132,62749,2015-01-01,2015-12-31
10132,65406,2016-01-01,2016-12-31
10132,70538,2017-01-01,2017-12-31
10132,72308,2018-01-01,2018-12-31
10132,74168,2019-01-01,2019-12-31
10132,76245,2020-01-01,2020-12-31
10132,81520,2021-01-01,2021-12-31
10132,83516,2022-01-01,2022-12-31
10132,88031,2023-01-01,2023-12-31
10133,44283,2017-01-01,2017-12-31
10133,45797,2018-01-01,2018-12-31
10133,47430,2019-01-01,2019-12-31
10133,49275,2020-01-01,2020-12-31
10133,52628,2021-01-01,2021-12-31
10133,55893,2022-01-01,2022-12-31
10133,59476,2023-01-01,2023-12-31
10134,48911,2013-01-01,2013-12-31
10134,50574,2014-01-01,2014-12-31
10134,54448,2015-01-01,2015-12-31
10134,55981,2016-01-01,2016-12-31
10134,59687,2017-01-01,2017-12-31
10134,61270,2018-01-01,2018-12-31
10134,62883,2019-01-01,2019-12-31
10134,65836,2020-01-01,2020-12-31
10134,68393,2021-01-01,2021-12-31
10134,70256,2022-01-01,2022-12-31
10134,73171,2023-01-01,2023-12-31
10135,54808,2010-01-01,2010-12-31
10135,56918,2011-01-01,2011-12-31
10135,58961,2012-01-01,2012-12-31
10135,60564,2013-01-01,2013-12-31
10135,62348,2014-01-01,2014-12-31
10135,66161,2015-01-01,2015-12-31
10135,70764,2016-01-01,2016-12-31
10135,75138,2017-01-01,2017-12-31
10135,76822,2018-01-01,2018-12-31
10135,82211,2019-01-01,2019-12-31
10135,85472,2020-01-01,2020-12-31
10135,87649,2021-01-01,2021-12-31
10135,90707,2022-01-01,2022-12-31
10135,94457,2023-01-01,2023-12-31
10136,62189,2019-01-01,2019-12-31
10136,64547,2020-01-01,2020-12-31
10136,69013,2021-01-01,2021-12-31
10136,71113,2022-01-01,2022-12-31
10136,76597,2023-01-01,2023-12-31
10137,58217,2016-01-01,2016-12-31
10137,61994,2017-01-01,2017-12-31
10137,64163,2018-01-01,2018-12-31
10137,67225,2019-01-01,2019-12-31
10137,71812,2020-01-01,2020-12-31
10137,73850,2021-01-01,2021-12-31
10137,75379,2022-01-01,2022-12-31
10137,80642,2023-01-01,2023-12-31
10138,44283,2023-01-01,2023-12-31
10139,53126,2016-01-01,2016-12-31
10139,55375,2017-01-01,2017-12-31
10139,58576,2018-01-01,2018-12-31
10139,62013,2019-01-01,2019-12-31
10139,65419,2020-01-01,2020-12-31
10139,67743,2021-01-01,2021-12-31
10139,72401,2022-01-01,2022-12-31
10139,73943,2023-01-01,2023-12-31
10140,69572,2006-01-01,2006-12-31
10140,73659,2007-01-01,2007-12-31
10140,78708,2008-01-01,2008-12-31
10140,80716,2009-01-01,2009-12-31
10140,86433,2010-01-01,2010-12-31
10140,92356,2011-01-01,2011-12-31
10140,94882,2012-01-01,2012-12-31
10140,102143,2013-01-01,2013-12-31
10140,104496,2014-01-01,2014-12-31
10140,112380,2015-01-01,2015-12-31
10140,117548,2016-01-01,2016-12-31
10140,125008,2017-01-01,2017-12-31
10140,131229,2018-01-01,2018-12-31
10140,136867,2019-01-01,2019-12-31
10140,143108,2020-01-01,2020-12-31
10140,149009,2021-01-01,2021-12-31
10140,160109,2022-01-01,2022-12-31
10140,165952,2023-01-01,2023-12-31
10141,44870,2015-01-01,2015-12-31
10141,45860,2016-01-01,2016-12-31
10141,48480,2017-01-01,2017-12-31
10141,50164,2018-01-01,2018-12-31
10141,52055,2019-01-01,2019-12-31
10141,54382,2020-01-01,2020-12-31
10141,57266,2021-01-01,2021-12-31
10141,58620,2022-01-01,2022-12-31
10141,60776,2023-01-01,2023-12-31
10142,46535,2013-01-01,2013-12-31
10142,49260,2014-01-01,2014-12-31
10142,52601,2015-01-01,2015-12-31
10142,54439,2016-01-01,2016-12-31
10142,58774,2017-01-01,2017-12-31
10142,61866,2018-01-01,2018-12-31
10142,63175,2019-01-01,2019-12-31
10142,65888,2020-01-01,2020-12-31
10142,70025,2021-01-01,2021-12-31
10142,73440,2022-01-01,2022-12-31
10142,78352,2023-01-01,2023-12-31
10143,58535,2007-01-01,2007-12-31
10143,61470,2008-01-01,2008-12-31
10143,64131,2009-01-01,2009-12-31
10143,66105,2010-01-01,2010-12-31
10143,68691,2011-01-01,2011-12-31
10143,70967,2012-01-01,2012-12-31
10143,76200,2013-01-01,2013-12-31
10143,81283,2014-01-01,2014-12-31
10143,83194,2015-01-01,2015-12-31
10143,89807,2016-01-01,2016-12-31
10143,94455,2017-01-01,2017-12-31
10143,100690,2018-01-01,2018-12-31
10143,108742,2019-01-01,2019-12-31
10143,117271,2020-01-01,2020-12-31
10143,120320,2021-01-01,2021-12-31
10143,127468,2022-01-01,2022-12-31
10143,132055,2023-01-01,2023-12-31
10144,64151,2013-01-01,2013-12-31
10144,65649,2014-01-01,2014-12-31
10144,70886,2015-01-01,2015-12-31
10144,73236,2016-01-01,2016-12-31
10144,78420,2017-01-01,2017-12-31
10144,83740,2018-01-01,2018-12-31
10144,87197,2019-01-01,2019-12-31
10144,93331,2020-01-01,2020-12-31
10144,99930,2021-01-01,2021-12-31
10144,102984,2022-01-01,2022-12-31
10144,108704,2023-01-01,2023-12-31
10145,62859,2008-01-01,2008-12-31
10145,65469,2009-01-01,2009-12-31
10145,69102,2010-01-01,2010-12-31
10145,73400,2011-01-01,2011-12-31
10145,76416,2012-01-01,2012-12-31
10145,80546,2013-01-01,2013-12-31
10145,82843,2014-01-01,2014-12-31
10145,89213,2015-01-01,2015-12-31
10145,95475,2016-01-01,2016-12-31
10145,102026,2017-01-01,2017-12-31
10145,110006,2018-01-01,2018-12-31
10145,115784,2019-01-01,2019-12-31
10145,119319,2020-01-01,2020-12-31
10145,121977,2021-01-01,2021-12-31
10145,124827,2022-01-01,2022-12-31
10145,131829,2023-01-01,2023-12-31
10146,55662,2019-01-01,2019-12-31
10146,56777,2020-01-01,2020-12-31
10146,61039,2021-01-01,2021-12-31
10146,62997,2022-01-01,2022-12-31
10146,64750,2023-01-01,2023-12-31
10147,66293,2014-01-01,2014-12-31
10147,70977,2015-01-01,2015-12-31
10147,73774,2016-01-01,2016-12-31
10147,75346,2017-01-01,2017-12-31
10147,79504,2018-01-01,2018-12-31
10147,85469,2019-01-01,2019-12-31
10147,91149,2020-01-01,2020-12-31
10147,97601,2021-01-01,2021-12-31
10147,104593,2022-01-01,2022-12-31
10147,112712,2023-01-01,2023-12-31
10148,61696,2022-01-01,2022-12-31
10148,64394,2023-01-01,2023-12-31
10149,49888,2018-01-01,2018-12-31
10149,51851,2019-01-01,2019-12-31
10149,55923,2020-01-01,2020-12-31
